"표준코드","시설명","소재지","착공년도","준공년도","종별","구분","유역면적","홍수면적","만수면적","수혜면적","한발빈도","홍수빈도","제체형식","제체체적","제체길이","제체높이","총저수량","유효저수량","사수량","취수형식","홍수위","만수위","사수위"
"4773010565","산정","경상북도 의성군 다인면 외정리","1951-01-01","1953-12-30","2","보조수원","27","1","1","3","10","100","필댐(죤형)","11","110","6","12","12","0","사통형","77","77","74"
"4773010566","대동","경상북도 의성군 다인면 달제리","1950-01-01","1952-12-30","2","보조수원","63","3","1","10","10","100","필댐(죤형)","15","120","7","53","43","10","사통형","129","128","125"
"4773010567","내산정","경상북도 의성군 다인면 외정리","1953-01-01","1954-12-30","2","보조수원","25","1","1","3","10","100","필댐(죤형)","14","92","8","9","9","0","사통형","70","70","67"
"4773010568","신산","경상북도 의성군 다인면 신락리","1946-01-01","1948-12-30","2","보조수원","54","3","3","12","10","100","필댐(죤형)","110","110","8","41","41","0","사통형","51","50","48"
"4773010569","상신","경상북도 의성군 다인면 신락리","1951-01-01","1952-12-30","2","보조수원","32","1","1","10","10","100","필댐(죤형)","90","90","6","3","3","0","사통형","58","58","55"
"4773010666","삼춘","경상북도 의성군 안평면 삼춘리","2003-10-20","2006-12-20","2","주수원","320","5","4","39","10","200","필댐(죤형)","4440","136","20","223","219","4","사통형","151","150","139"
"4773011311","사곡","경상북도 의성군 사곡면 공정리","2000-12-18","2015-09-30","1","주수원","1340","60","56","427","10","200","필댐(죤형)","64022","228","35","6074","5175","899","취수탑형","186","185","168"
"4773011312","중하","경상북도 의성군 안사면 중하리","2015-08-26","2019-12-24","1","주수원","240","10","10","","10","200","필댐(죤형)","767059","192","30","913","794","119","사통형","187","186","168"
"4775010009","청운","경상북도 청송군 청송읍 청운리","1957-01-01","1963-01-01","2","주수원","105","3","3","41","10","100","필댐(죤형)","390","100","13","137","130","7","사통형","254","253","245"
"4775010011","묘곡","경상북도 청송군 청송읍 송생리","1943-01-01","1945-01-01","2","보조수원","5","9","8","8","5","100","필댐(죤형)","81","55","6","95","90","5","사통형","243","242","239"
"4775010055","화장","경상북도 청송군 부남면 화장리","1983-01-01","1987-12-31","1","주수원","1692","51","44","123","10","200","필댐(코어형)","137324","180","26","3455","3404","52","취수탑형","381","379","363"
"4775010064","질부곡","경상북도 청송군 현동면 거성리","1943-01-01","1944-10-20","2","보조수원","12","1","1","1","10","100","필댐(죤형)","164","53","10","15","14","1","사통형","303","303","297"
"4775010065","뒷골","경상북도 청송군 현동면 거성리","1943-01-01","1945-01-01","2","보조수원","12","1","1","1","10","100","필댐(죤형)","154","56","10","15","14","1","사통형","302","301","298"
"4775010066","신풍","경상북도 청송군 현동면 거성리","1964-01-01","1971-01-01","1","주수원","3060","28","25","99","10","200","필댐(죤형)","390","196","13","725","688","37","사통형","318","317","310"
