sigungu,well_count,groundwater_well_count,drilling_developed_well_count,unknown_well_count,total_pump_capacity,pump_capacity_valid_count,well_depth_sum,well_depth_valid_count,public_like_well_count,record_used_count,source_zip,source_type,year,snapshot_score,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_score,well_shortage_score,well_support_level
당진시,171,0,171,0,0.0,0,0.0,0,0,171,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,27.56183745583039,50.0,36.53710247349824,63.46289752650176,낮음
금산군,236,0,236,0,0.0,0,0.0,0,0,236,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,39.04593639575972,50.0,43.42756183745583,56.572438162544174,보통
부여군,278,0,278,0,0.0,0,0.0,0,0,278,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,46.46643109540637,50.0,47.879858657243815,52.120141342756185,보통
서천군,155,0,155,0,0.0,0,0.0,0,0,155,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,24.73498233215548,50.0,34.840989399293285,65.15901060070672,낮음
청양군,138,0,138,0,0.0,0,0.0,0,0,138,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,21.73144876325088,50.0,33.03886925795053,66.96113074204948,낮음
홍성군,248,0,248,0,0.0,0,0.0,0,0,248,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,41.1660777385159,50.0,44.699646643109546,55.30035335689045,보통
예산군,581,0,581,0,0.0,0,0.0,0,0,581,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,100.0,50.0,80.0,20.0,매우높음
태안군,146,0,146,0,0.0,0,0.0,0,0,146,한국농어촌공사_시추개발관정_2025.zip,drilling_developed_well,2025,20250101,,,23.14487632508834,50.0,33.886925795053,66.113074204947,낮음
천안시,397,397,0,0,39924.0,394,31973.0,396,224,397,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,101.32994923857868,80.73989898989899,0.6137049469365612,3.6510664289509625,1.8286495397423217,98.17135046025768,낮음
공주시,23429,23429,0,0,195950.64,5153,693269.8,23429,228,23429,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,38.02651659227634,29.590242861411078,78.70681178584749,24.48657454226128,57.018716888413,42.981283111587,보통
보령시,4096,4096,0,0,141848.6,3681,162568.5,4096,321,4096,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,38.535343656615055,39.6895751953125,13.155664055877669,17.26188846707156,14.798153820355225,85.20184617964478,낮음
아산시,2798,2798,0,0,176740.5,2125,183937.9,2798,561,2798,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,83.172,65.73906361686919,8.754619740277354,21.92128807689981,14.021287074926336,85.97871292507367,낮음
서산시,833,833,0,0,47152.19999999999,833,44232.0,832,184,833,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,56.60528211284512,53.16346153846154,2.092021835689825,4.616306850359956,3.1017358415578773,96.89826415844212,낮음
논산시,18024,18024,0,0,640504.41,18022,510175.7000000002,18024,460,18024,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,35.54014038397514,28.305353972481143,60.38042925439935,83.85146044660229,69.76884173128053,30.23115826871947,높음
계룡시,1678,1678,0,0,39705.279999999984,1678,80285.0,1678,27,1678,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,23.66226460071513,47.84564958283672,4.95710846641576,3.621858965824514,4.423008666179261,95.57699133382074,낮음
당진시,216,216,0,0,12583.0,216,15414.0,216,0,216,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,58.254629629629626,71.36111111111111,0.0,0.0,0.0,100.0,낮음
금산군,11291,11291,0,0,187312.5,4462,298094.9,11291,163,11291,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,41.97949350067235,26.40110707643256,37.55128335537246,23.33305334835548,31.86399135256567,68.13600864743432,낮음
부여군,29709,29709,0,0,761432.7000000002,29686,686998.4000000001,29709,413,29709,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,25.64955534595433,23.124251910195568,100.0,100.0,100.0,0.0,매우높음
서천군,4037,4037,0,0,162082.5,4034,135196.5,4037,178,4037,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,40.17910262766485,33.48934852613327,12.955616586986745,19.96388594400184,15.758924329792782,84.24107567020722,낮음
청양군,2830,2830,0,0,142225.6,2759,140606.5,2830,361,2830,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,51.549691917361365,49.68427561837456,8.863120062387685,17.31223234782627,12.24276497656312,87.75723502343688,낮음
홍성군,5395,5395,0,0,243921.47,5068,274828.0,5395,637,5395,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,48.12972967640095,50.94124189063948,17.560099006543926,30.89251020598659,22.89306348632099,77.10693651367902,낮음
예산군,2081,2081,0,0,115577.5,2064,121416.5,2081,377,2081,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,55.9968507751938,58.34526669870255,6.323534397992744,13.753694499710686,9.29559843867992,90.70440156132008,낮음
태안군,2159,2159,0,0,56400.69999999995,1448,79471.69,1717,107,2159,한국농어촌공사_지하수 관정현황_20241231.zip,groundwater_well,2024,20241231,38.950759668508255,46.28520093185789,6.588003933136677,5.85133438659319,6.293336114519282,93.70666388548072,낮음
